,ticker,date,time,title,compound
0,BABA,2022-05-06,06:15PM  ,5 Best Chinese Stocks To Buy And Watch,0.6369
1,BABA,2022-05-06,02:57PM  ,"Google Jumps The Crypto Bandwagon To Win Cloud Market From Alibaba, Amazon, Microsoft",0.6705
2,BABA,2022-05-05,03:45PM  ,"Tesla, Amazon, Alibaba among biggest market laggards of the day",0.1779
3,BABA,2022-05-05,03:00PM  ,"7 Stocks Reporting Earnings the Week of May 9, 2022",0.0
4,BABA,2022-05-05,12:40PM  ,"April Jobs, Cigna Earnings, Alibaba Reports: 3 Things to Watch",0.0
5,BABA,2022-05-04,10:20AM  ,Didi Leads Slump in U.S.-Listed Chinese Shares Amid SEC Probe,0.296
6,BABA,2022-05-04,10:16AM  ,DiDi Stock Plunges. An SEC Probe Has Alibaba and JD.com Investors On Edge.,0.0
7,BABA,2022-05-04,09:55AM  ,Why Alibaba Fell 10.8% in April,0.0
8,BABA,2022-05-04,08:26AM  ,Is Now the Right Time to Sell Your Alibaba (BABA) Stake?,0.0
9,BABA,2022-05-04,08:14AM  ,Jack Ma 'Arrest' and SEC's DiDi Investigation Whack China Tech Stocks,0.0
10,BABA,2022-05-04,06:52AM  ,DiDi Stock Plunges. An SEC Probe Has Alibaba and JD.com Investors On Edge Too.,0.0
11,BABA,2022-05-04,04:41AM  ,Didi Global Says It Faces SEC Probe Related to U.S. IPO,0.0
12,BABA,2022-05-04,12:00AM  ,Alibaba targets bargain-hunting shoppers to boost slowing sales growth,0.6486
13,BABA,2022-05-03,05:45PM  ,Alibaba (BABA) Stock Sinks As Market Gains: What You Should Know,0.34
14,BABA,2022-05-03,11:32AM  ,Alibaba stock falls over Jack Ma mistaken arrest rumor,-0.5994
15,BABA,2022-05-03,10:46AM  ,"Amazon workers reject union, Georgia entices Rivian to build plant, Jack Ma rumor causes Alibaba stock crash",-0.5719
16,BABA,2022-05-03,09:11AM  ,"Alibaba Stock Tumbled, Then Rebounded, on Ma Confusion. What to Know.",-0.296
17,BABA,2022-05-03,09:03AM  ,15 Most Valuable Platform Companies in the World,0.5256
18,BABA,2022-05-03,08:48AM  ,Alibaba Stock Drops After Report of Ma Arrest. It Wasnt Billionaire Founder Jack.,-0.34
19,BABA,2022-05-03,05:10AM  ,Alibaba Stock Drops After Report of Ma Arrest. It Wasnt Billionaire Founder Jack.,-0.34
20,BABA,2022-05-03,04:52AM  ,China Tech Stocks Fall as Policy Jitters Outweigh Support Vows,0.4019
21,BABA,2022-05-03,01:30AM  ,Chinese state media report on Ma detention sparks Alibaba sell-off,-0.3612
22,BABA,2022-05-03,01:26AM  ,Alibaba Recovers After Report on Ma Briefly Erased $26 Billion,0.0
23,BABA,2022-05-02,11:59PM  ,"Alibaba stock falls, then recovers, after state media report",0.0
24,BABA,2022-05-02,09:37PM  ,"Alibaba Shares Drop, Then Recover Losses, Over News Report",-0.3818
25,BABA,2022-05-02,08:53PM  ,Musks Grand Vision for Twitter Faces Reality Check in Asia,0.6124
26,BABA,2022-05-02,05:46PM  ,Top 10 Stocks to Buy Today According to Kerr Neilsons Platinum Asset Management,0.5106
27,BABA,2022-05-02,12:51PM  ,"Mizuho Continues To See Upside In Alibaba, JD, Baidu, Dada Amid Odds",0.0
28,BABA,2022-05-02,08:43AM  ,Should Weakness in Alibaba Group Holding Limited's (NYSE:BABA) Stock Be Seen As A Sign That Market Will Correct The Share Price Given Decent Financials?,-0.1531
29,BABA,2022-05-01,09:24PM  ,India Accuses Xiaomi of Forex Violations in Latest China Clash,-0.7003
30,BABA,2022-04-29,04:49PM  ,Alibaba Lead Gains in U.S. listed China Stocks on Beijing Vow,0.34
31,BABA,2022-04-29,03:51PM  ,"Alibaba leads China stocks higher, Walmart unveils activewear line, Amazon stock plunges",0.1779
32,BABA,2022-04-29,02:43PM  ,"Alibaba, China Stocks Rise; Government Said to Mull Easing Regulations",0.25
33,BABA,2022-04-29,12:55PM  ,"Alibaba Stock Surges As Crackdown Fears Ease, But Is BABA Stock A Buy Now?",-0.0387
34,BABA,2022-04-29,11:20AM  ,"Why DiDi Global, JD.com, and Alibaba Are Up Today",0.0
35,BABA,2022-04-29,07:42AM  ,"Alibaba, other China ADRs soar after WSJ report China to pause putting pressure on tech giants",-0.296
36,BABA,2022-04-28,09:12PM  ,"Alibaba, Baidu Estimates Slashed on Covid Lockdowns",-0.2263
37,BABA,2022-04-28,07:10PM  ,3 Chinese Stocks on Red Alert Amid Shanghai Shutdowns,0.296
38,BABA,2022-04-28,03:27PM  ,"Analyst Slash Earnings Estimates For Alibaba, Baidu, Others Again Amid Surging Covid Environment",-0.2732
39,BABA,2022-04-28,12:02PM  ,Heres When to Make Your Move With Weakened Alibaba Stock,-0.3182
